BIP_Accession_Name,sample_id,sample,polytunnel,rep,sub_block,pot_number,line_number,Collaborator1_name,Internal_accession_name,Accession_Name,Originating organisation,JIC_internal_accession_id,cultivar_names,ug/g,Brassicasterol,Campesterol diunsat,Leaf nitrogen content
RRES14_BnaDFFS004,p_043,43,1,2,4,56,14,BnaDFFS004,BnaDFFS004,RRES14_BnaDFFS004,RRES,s-00004,BIENVENU DH4,,405.25,59.82,1358.41
RRES14_BnaDFFS004,p_056,56,1,3,5,27,14,BnaDFFS004,BnaDFFS004,RRES14_BnaDFFS004,RRES,s-00004,BIENVENU DH4,,405.25,59.82,1358.41
RRES14_BnaDFFS005,p_065,65,2,1,6,28,17,BnaDFFS005,BnaDFFS005,RRES14_BnaDFFS005,RRES,s-00005,BRYAN x FORTRESS DH LINE,,896.17,46.42,1681.61
RRES14_BnaDFFS005,p_005,5,2,2,7,29,17,BnaDFFS005,BnaDFFS005,RRES14_BnaDFFS005,RRES,s-00005,BRYAN x FORTRESS DH LINE,,374.12,61.01,1350.32
RRES14_BnaDFFS005,p_010,10,1,3,1,30,17,BnaDFFS005,BnaDFFS005,RRES14_BnaDFFS005,RRES,s-00005,BRYAN x FORTRESS DH LINE,,896.17,46.42,1681.61
RRES14_BnaDFFS006,p_019,19,1,1,2,31,21,BnaDFFS006,BnaDFFS006,RRES14_BnaDFFS006,RRES,s-00006,CANBERRA x COURAGE DH LINE,,982.43,47.95,1524.8
RRES14_BnaDFFS006,p_022,22,1,2,3,32,21,BnaDFFS006,BnaDFFS006,RRES14_BnaDFFS006,RRES,s-00006,CANBERRA x COURAGE DH LINE,,343,62.2,1342.23
RRES14_BnaDFFS006,p_030,30,1,3,4,33,21,BnaDFFS006,BnaDFFS006,RRES14_BnaDFFS006,RRES,s-00006,CANBERRA x COURAGE DH LINE,,1058.63,24.46,1626.83
RRES14_BnaDFFS007,p_033,33,2,1,5,34,23,BnaDFFS007,BnaDFFS007,RRES14_BnaDFFS007,RRES,s-00007,CAPRICORN DH1,,959.2,60.17,1433.49
RRES14_BnaDFFS007,p_041,41,2,2,6,35,23,BnaDFFS007,BnaDFFS007,RRES14_BnaDFFS007,RRES,s-00007,CAPRICORN DH1,,311.87,63.39,1334.14
RRES14_BnaDFFS007,p_044,44,1,3,7,36,23,BnaDFFS007,BnaDFFS007,RRES14_BnaDFFS007,RRES,s-00007,CAPRICORN DH1,,218.5,66.95,1309.87
RRES14_BnaDFFS008,p_052,52,2,1,1,37,28,BnaDFFS008,BnaDFFS008,RRES14_BnaDFFS008,RRES,s-00008,COLUMBUS X NICKEL DH LINE,,1137.98,15.23,1697.8
RRES14_BnaDFFS008,p_061,61,2,2,2,64,28,BnaDFFS008,BnaDFFS008,RRES14_BnaDFFS008,RRES,s-00008,COLUMBUS X NICKEL DH LINE,,280.75,64.57,1326.05
RRES14_BnaDFFS008,p_064,64,1,3,3,1,28,BnaDFFS008,BnaDFFS008,RRES14_BnaDFFS008,RRES,s-00008,COLUMBUS X NICKEL DH LINE,,572.4,57.33,1414.92
RRES14_BnaDFFS009,p_015,15,1,1,4,2,30,BnaDFFS009,BnaDFFS009,RRES14_BnaDFFS009,RRES,s-00009,DARMOR,,1058.63,24.46,1626.83
RRES14_BnaDFFS009,p_026,26,2,2,5,3,30,BnaDFFS009,BnaDFFS009,RRES14_BnaDFFS009,RRES,s-00009,DARMOR,,249.62,65.76,1317.96
RRES14_BnaDFFS009,p_057,57,1,3,6,4,30,BnaDFFS009,BnaDFFS009,RRES14_BnaDFFS009,RRES,s-00009,DARMOR,,94,71.7,1277.52
RRES14_BnaDFFS010,p_001,1,1,1,7,5,35,BnaDFFS010,BnaDFFS010,RRES14_BnaDFFS010,RRES,s-00010,HANSEN X GASPARD DH LINE,,854.68,23.74,1455.67
RRES14_BnaDFFS010,p_006,6,1,2,1,6,35,BnaDFFS010,BnaDFFS010,RRES14_BnaDFFS010,RRES,s-00010,HANSEN X GASPARD DH LINE,,218.5,66.95,1309.87
RRES14_BnaDFFS010,p_011,11,1,3,2,7,35,BnaDFFS010,BnaDFFS010,RRES14_BnaDFFS010,RRES,s-00010,HANSEN X GASPARD DH LINE,,374.12,61.01,1350.32
RRES14_BnaDFFS011,p_016,16,2,1,3,8,37,BnaDFFS011,BnaDFFS011,RRES14_BnaDFFS011,RRES,s-00011,INCA X  CONTACT  DH LINE,,825.03,36.06,1827.09
RRES14_BnaDFFS011,p_020,20,2,2,4,9,37,BnaDFFS011,BnaDFFS011,RRES14_BnaDFFS011,RRES,s-00011,INCA X  CONTACT  DH LINE,,187.37,68.14,1301.79
RRES14_BnaDFFS011,p_029,29,1,3,5,65,37,BnaDFFS011,BnaDFFS011,RRES14_BnaDFFS011,RRES,s-00011,INCA X  CONTACT  DH LINE,,280.75,77.65,1237.07
RRES14_BnaDFFS012,p_053,53,1,1,6,10,38,BnaDFFS012,BnaDFFS012,RRES14_BnaDFFS012,RRES,s-00012,MADRIGAL x RECITAL DH LINE,,928.88,35.96,1457.55
RRES14_BnaDFFS012,p_058,58,1,2,7,11,38,BnaDFFS012,BnaDFFS012,RRES14_BnaDFFS012,RRES,s-00012,MADRIGAL x RECITAL DH LINE,,156.25,69.33,1293.7
RRES14_BnaDFFS012,p_062,62,1,3,1,12,38,BnaDFFS012,BnaDFFS012,RRES14_BnaDFFS012,RRES,s-00012,MADRIGAL x RECITAL DH LINE,,1058.63,24.46,1626.83
RRES14_BnaDFFS013,p_004,4,2,1,2,13,40,BnaDFFS013,BnaDFFS013,RRES14_BnaDFFS013,RRES,s-00013,MAJOR DH,,831.29,37.71,1174.79
RRES14_BnaDFFS013,p_012,12,2,2,3,14,40,BnaDFFS013,BnaDFFS013,RRES14_BnaDFFS013,RRES,s-00013,MAJOR DH,,125.12,70.52,1285.61
RRES14_BnaDFFS013,p_035,35,1,3,4,15,40,BnaDFFS013,BnaDFFS013,RRES14_BnaDFFS013,RRES,s-00013,MAJOR DH,,572.4,57.33,1414.92
RRES14_BnaDFFS014,p_046,46,2,1,5,66,45,BnaDFFS014,BnaDFFS014,RRES14_BnaDFFS014,RRES,s-00014,NINGYOU 7,,794.31,43.89,1429.66
RRES14_BnaDFFS014,p_054,54,2,2,6,16,45,BnaDFFS014,BnaDFFS014,RRES14_BnaDFFS014,RRES,s-00014,NINGYOU 7,,94,71.7,1277.52
RRES14_BnaDFFS014,p_017,17,1,3,7,17,45,BnaDFFS014,BnaDFFS014,RRES14_BnaDFFS014,RRES,s-00014,NINGYOU 7,,249.62,65.76,1317.96
RRES14_BnaDFFS015,p_036,36,1,1,1,18,47,BnaDFFS015,BnaDFFS015,RRES14_BnaDFFS015,RRES,s-00015,RAFAL DH1,,757.32,44.71,1361.56
RRES14_BnaDFFS015,p_047,47,1,2,2,19,47,BnaDFFS015,BnaDFFS015,RRES14_BnaDFFS015,RRES,s-00015,RAFAL DH1,,62.87,72.89,1269.43
RRES14_BnaDFFS015,p_059,59,2,3,3,38,47,BnaDFFS015,BnaDFFS015,RRES14_BnaDFFS015,RRES,s-00015,RAFAL DH1,,374.12,61.01,1350.32
RRES14_BnaDFFS016,p_002,2,1,1,4,39,49,BnaDFFS016,BnaDFFS016,RRES14_BnaDFFS016,RRES,s-00016,ROCKET (PST) X  LIZARD  DH LINE,,720.34,47.24,1446.44
RRES14_BnaDFFS016,p_007,7,1,2,5,20,49,BnaDFFS016,BnaDFFS016,RRES14_BnaDFFS016,RRES,s-00016,ROCKET (PST) X  LIZARD  DH LINE,,31.75,74.08,1261.34
RRES14_BnaDFFS016,p_018,18,1,3,6,21,49,BnaDFFS016,BnaDFFS016,RRES14_BnaDFFS016,RRES,s-00016,ROCKET (PST) X  LIZARD  DH LINE,,572.4,57.33,1414.92
RRES14_BnaDFFS017,p_025,25,2,1,7,22,55,BnaDFFS017 Ref2,BnaDFFS017,RRES14_BnaDFFS017,RRES,s-00017,SAMOURAI,,683.36,49.76,1576.69
RRES14_BnaDFFS017,p_060,60,2,2,1,23,55,BnaDFFS017 Ref2,BnaDFFS017,RRES14_BnaDFFS017,RRES,s-00017,SAMOURAI,,343,75.27,1253.25
RRES14_BnaDFFS017,p_008,8,1,3,2,24,55,BnaDFFS017 Ref2,BnaDFFS017,RRES14_BnaDFFS017,RRES,s-00017,SAMOURAI,,218.5,66.95,1309.87
RRES14_BnaDFFS018,p_038,38,1,1,3,25,57,BnaDFFS018,BnaDFFS018,RRES14_BnaDFFS018,RRES,s-00018,TAPIDOR DH,,646.37,52.29,1541.84
RRES14_BnaDFFS018,p_049,49,2,2,4,40,57,BnaDFFS018,BnaDFFS018,RRES14_BnaDFFS018,RRES,s-00018,TAPIDOR DH,,311.87,76.46,1245.16
RRES14_BnaDFFS018,p_034,34,1,3,5,41,57,BnaDFFS018,BnaDFFS018,RRES14_BnaDFFS018,RRES,s-00018,TAPIDOR DH,,94,71.7,1277.52
RRES14_BnaDFFS019,p_045,45,1,1,6,26,58,BnaDFFS019,BnaDFFS019,RRES14_BnaDFFS019,RRES,s-00019,TEQUILLA x ARAGON DH LINE,,609.39,54.81,1431.5
RRES14_BnaDFFS019,p_037,37,1,2,7,42,58,BnaDFFS019,BnaDFFS019,RRES14_BnaDFFS019,RRES,s-00019,TEQUILLA x ARAGON DH LINE,,280.75,77.65,1237.07
RRES14_BnaDFFS019,p_048,48,1,3,1,43,58,BnaDFFS019,BnaDFFS019,RRES14_BnaDFFS019,RRES,s-00019,TEQUILLA x ARAGON DH LINE,,249.62,65.76,1317.96
RRES14_BnaDFS020,p_024,24,2,1,2,44,59,BnaDFS020,BnaDFS020,RRES14_BnaDFS020,RRES,s-00020,BALTIA,,572.4,57.33,1414.92
RRES14_BnaDFS020,p_039,39,2,2,3,57,59,BnaDFS020,BnaDFS020,RRES14_BnaDFS020,RRES,s-00020,BALTIA,,249.62,78.84,1228.98
RRES14_BnaDFS020,p_050,50,1,3,4,45,59,BnaDFS020,BnaDFS020,RRES14_BnaDFS020,RRES,s-00020,BALTIA,,374.12,61.01,1350.32
RRES14_BnaDFS021,p_021,21,1,1,5,58,66,BnaDFS021,BnaDFS021,RRES14_BnaDFS021,RRES,s-00053,EUROL,,535.42,59.86,1130.62
RRES14_BnaDFS021,p_063,63,1,2,6,59,66,BnaDFS021,BnaDFS021,RRES14_BnaDFS021,RRES,s-00053,EUROL,,218.5,80.02,1220.89
RRES14_BnaDFS021,p_040,40,1,3,7,60,66,BnaDFS021,BnaDFS021,RRES14_BnaDFS021,RRES,s-00053,EUROL,,94,71.7,1277.52
RRES14_BnaDFS022,p_051,51,2,1,1,61,67,BnaDFS022,BnaDFS022,RRES14_BnaDFS022,RRES,s-00213,JET NEUF,,498.44,62.38,1415.46
RRES14_BnaDFS022,p_013,13,2,2,2,62,67,BnaDFS022,BnaDFS022,RRES14_BnaDFS022,RRES,s-00213,JET NEUF,,187.37,81.21,1212.8
RRES14_BnaDFS022,p_055,55,1,3,3,63,67,BnaDFS022,BnaDFS022,RRES14_BnaDFS022,RRES,s-00213,JET NEUF,,218.5,66.95,1309.87
