sample_id,sample,polytunnel,rep,sub_block,pot_number,Accession_Name,Originating organisation,cultivar_name,days.to.flowering,number.of.first.branch,Lower stem length
p_011,11,1,3,2,7,U.Nottm15_BnaDFFS010,University of Nottingham,Hansen X Gaspard  ,197,10,53.79
p_016,16,2,1,3,8,U.Nottm15_BnaDFFS011,University of Nottingham,Inca X  Contact   ,197,8,74.39
p_020,20,2,2,4,9,U.Nottm15_BnaDFFS011,University of Nottingham,Inca X  Contact   ,197,8,50.76
p_029,29,1,3,5,65,U.Nottm15_BnaDFFS011,University of Nottingham,Inca X  Contact   ,196,10,55.51
p_053,53,1,1,6,10,U.Nottm15_BnaDFFS012,University of Nottingham,Madrigal X Recital  ,199,9,63.5
p_058,58,1,2,7,11,U.Nottm15_BnaDFFS012,University of Nottingham,Madrigal X Recital  ,205,7,45.81
p_062,62,1,3,1,12,U.Nottm15_BnaDFFS012,University of Nottingham,Madrigal X Recital  ,204,10,63.23
p_004,4,2,1,2,13,U.Nottm15_BnaDFFS013,University of Nottingham,Major ,202,9,42.28
p_012,12,2,2,3,14,U.Nottm15_BnaDFFS013,University of Nottingham,Major ,202,6,67.25
p_035,35,1,3,4,15,U.Nottm15_BnaDFFS013,University of Nottingham,Major ,201,10,70.9
p_046,46,2,1,5,66,U.Nottm15_BnaDFFS014,University of Nottingham,Ningyou 7,201,9,68.42
p_054,54,2,2,6,16,U.Nottm15_BnaDFFS014,University of Nottingham,Ningyou 7,201,8,56.83
p_017,17,1,3,7,17,U.Nottm15_BnaDFFS014,University of Nottingham,Ningyou 7,201,9,68.37
p_036,36,1,1,1,18,U.Nottm15_BnaDFFS015,University of Nottingham,Rafal 1,201,10,97.58
p_047,47,1,2,2,19,U.Nottm15_BnaDFFS015,University of Nottingham,Rafal 1,197,10,72.34
p_059,59,2,3,3,38,U.Nottm15_BnaDFFS015,University of Nottingham,Rafal 1,197,10,102.38
p_002,2,1,1,4,39,U.Nottm15_BnaDFFS016,University of Nottingham,Rocket (Pst) X  Lizard   ,197,8,65.2
p_007,7,1,2,5,20,U.Nottm15_BnaDFFS016,University of Nottingham,Rocket (Pst) X  Lizard   ,196,10,48.64
p_018,18,1,3,6,21,U.Nottm15_BnaDFFS016,University of Nottingham,Rocket (Pst) X  Lizard   ,193,9,77.41
p_025,25,2,1,7,22,U.Nottm15_BnaDFFS017,University of Nottingham,Samourai,194,10,87.53
p_060,60,2,2,1,23,U.Nottm15_BnaDFFS017,University of Nottingham,Samourai,205,8,64.79
p_008,8,1,3,2,24,U.Nottm15_BnaDFFS017,University of Nottingham,Samourai,205,9,41.91
p_038,38,1,1,3,25,U.Nottm15_BnaDFFS018,University of Nottingham,Tapidor ,195,10,49.22
p_049,49,2,2,4,40,U.Nottm15_BnaDFFS018,University of Nottingham,Tapidor ,199,9,42.83
p_034,34,1,3,5,41,U.Nottm15_BnaDFFS018,University of Nottingham,Tapidor ,205,10,41.69
p_045,45,1,1,6,26,U.Nottm15_BnaDFFS019,University of Nottingham,Tequilla X Aragon  ,204,8,48.69
p_037,37,1,2,7,42,U.Nottm15_BnaDFFS019,University of Nottingham,Tequilla X Aragon  ,202,8,46.69
p_048,48,1,3,1,43,U.Nottm15_BnaDFFS019,University of Nottingham,Tequilla X Aragon  ,202,10,54.83
