sample_id,polytunnel,rep,sub_block,pot_number,Accession_Name,Originating organisation,cultivar_name,Brassicasterol,Campesterol diunsat,Early leaf Kjeldal N
p_030,1,3,4,33,U.Nottm15_BnaDFFS006,University of Nottingham,Canberra X Courage  ,1058.63,24.46,1626.83
p_033,2,1,5,34,U.Nottm15_BnaDFFS007,University of Nottingham,Capricorn 1,959.2,60.17,1433.49
p_041,2,2,6,35,U.Nottm15_BnaDFFS007,University of Nottingham,Capricorn 1,311.87,63.39,1334.14
p_044,1,3,7,36,U.Nottm15_BnaDFFS007,University of Nottingham,Capricorn 1,218.5,66.95,1309.87
p_052,2,1,1,37,U.Nottm15_BnaDFFS008,University of Nottingham,Columbus X Nickel  ,1137.98,15.23,1697.8
p_061,2,2,2,64,U.Nottm15_BnaDFFS008,University of Nottingham,Columbus X Nickel  ,280.75,64.57,1326.05
p_064,1,3,3,1,U.Nottm15_BnaDFFS008,University of Nottingham,Columbus X Nickel  ,572.4,57.33,1414.92
p_015,1,1,4,2,U.Nottm15_BnaDFFS009,University of Nottingham,Darmor,1058.63,24.46,1626.83
p_026,2,2,5,3,U.Nottm15_BnaDFFS009,University of Nottingham,Darmor,249.62,65.76,1317.96
p_057,1,3,6,4,U.Nottm15_BnaDFFS009,University of Nottingham,Darmor,94,71.7,1277.52
p_001,1,1,7,5,U.Nottm15_BnaDFFS010,University of Nottingham,Hansen X Gaspard  ,854.68,23.74,1455.67
p_006,1,2,1,6,U.Nottm15_BnaDFFS010,University of Nottingham,Hansen X Gaspard  ,218.5,66.95,1309.87
p_011,1,3,2,7,U.Nottm15_BnaDFFS010,University of Nottingham,Hansen X Gaspard  ,374.12,61.01,1350.32
p_016,2,1,3,8,U.Nottm15_BnaDFFS011,University of Nottingham,Inca X  Contact   ,825.03,36.06,1827.09
p_020,2,2,4,9,U.Nottm15_BnaDFFS011,University of Nottingham,Inca X  Contact   ,187.37,68.14,1301.79
p_029,1,3,5,65,U.Nottm15_BnaDFFS011,University of Nottingham,Inca X  Contact   ,280.75,77.65,1237.07
p_053,1,1,6,10,U.Nottm15_BnaDFFS012,University of Nottingham,Madrigal X Recital  ,928.88,35.96,1457.55
p_058,1,2,7,11,U.Nottm15_BnaDFFS012,University of Nottingham,Madrigal X Recital  ,156.25,69.33,1293.7
p_062,1,3,1,12,U.Nottm15_BnaDFFS012,University of Nottingham,Madrigal X Recital  ,1058.63,24.46,1626.83
p_004,2,1,2,13,U.Nottm15_BnaDFFS013,University of Nottingham,Major ,831.29,37.71,1174.79
p_012,2,2,3,14,U.Nottm15_BnaDFFS013,University of Nottingham,Major ,125.12,70.52,1285.61
p_035,1,3,4,15,U.Nottm15_BnaDFFS013,University of Nottingham,Major ,572.4,57.33,1414.92
p_046,2,1,5,66,U.Nottm15_BnaDFFS014,University of Nottingham,Ningyou 7,794.31,43.89,1429.66
p_054,2,2,6,16,U.Nottm15_BnaDFFS014,University of Nottingham,Ningyou 7,94,71.7,1277.52
p_017,1,3,7,17,U.Nottm15_BnaDFFS014,University of Nottingham,Ningyou 7,249.62,65.76,1317.96
p_036,1,1,1,18,U.Nottm15_BnaDFFS015,University of Nottingham,Rafal 1,757.32,44.71,1361.56
p_047,1,2,2,19,U.Nottm15_BnaDFFS015,University of Nottingham,Rafal 1,62.87,72.89,1269.43
p_059,2,3,3,38,U.Nottm15_BnaDFFS015,University of Nottingham,Rafal 1,374.12,61.01,1350.32
p_002,1,1,4,39,U.Nottm15_BnaDFFS016,University of Nottingham,Rocket (Pst) X  Lizard   ,720.34,47.24,1446.44
p_007,1,2,5,20,U.Nottm15_BnaDFFS016,University of Nottingham,Rocket (Pst) X  Lizard   ,31.75,74.08,1261.34
p_018,1,3,6,21,U.Nottm15_BnaDFFS016,University of Nottingham,Rocket (Pst) X  Lizard   ,572.4,57.33,1414.92
p_025,2,1,7,22,U.Nottm15_BnaDFFS017,University of Nottingham,Samourai,683.36,49.76,1576.69
p_060,2,2,1,23,U.Nottm15_BnaDFFS017,University of Nottingham,Samourai,343,75.27,1253.25
p_008,1,3,2,24,U.Nottm15_BnaDFFS017,University of Nottingham,Samourai,218.5,66.95,1309.87
p_038,1,1,3,25,U.Nottm15_BnaDFFS018,University of Nottingham,Tapidor ,646.37,52.29,1541.84
p_049,2,2,4,40,U.Nottm15_BnaDFFS018,University of Nottingham,Tapidor ,311.87,76.46,1245.16
p_034,1,3,5,41,U.Nottm15_BnaDFFS018,University of Nottingham,Tapidor ,94,71.7,1277.52
p_045,1,1,6,26,U.Nottm15_BnaDFFS019,University of Nottingham,Tequilla X Aragon  ,609.39,54.81,1431.5
p_037,1,2,7,42,U.Nottm15_BnaDFFS019,University of Nottingham,Tequilla X Aragon  ,280.75,77.65,1237.07
p_048,1,3,1,43,U.Nottm15_BnaDFFS019,University of Nottingham,Tequilla X Aragon  ,249.62,65.76,1317.96
