Plant scoring unit name,polytunnel,rep,sub-block,pot,Plant accession,Originating organisation,Plant variety,days to flowering trait,plant height,dry weight 
p_054,2,2,6,16,JIC09_BrDFS_A_040,JIC,PC-023,201,8,56.83
p_017,1,3,7,17,JIC09_BrDFS_A_040,JIC,PC-023,201,9,68.37
p_036,1,1,1,18,JIC09_BrDFS_A_045,JIC,PC-078,201,10,97.58
p_047,1,2,2,19,JIC09_BrDFS_A_045,JIC,PC-078,197,10,72.34
p_059,2,3,3,38,JIC09_BrDFS_A_045,JIC,PC-078,197,10,102.38
p_002,1,1,4,39,JIC09_BrDFS_A_047,JIC,PC-101,197,8,65.2
p_007,1,2,5,20,JIC09_BrDFS_A_047,JIC,PC-101,196,10,48.64
p_018,1,3,6,21,JIC09_BrDFS_A_047,JIC,PC-101,193,9,77.41
p_025,2,1,7,22,JIC09_BrDFS_A_049,JIC,PC-175,194,10,87.53
p_060,2,2,1,23,JIC09_BrDFS_A_049,JIC,PC-175,205,8,64.79
p_008,1,3,2,24,JIC09_BrDFS_A_049,JIC,PC-175,205,9,41.91
p_038,1,1,3,25,JIC09_BrDFS_A_055,JIC,PC-183,195,10,49.22
p_049,2,2,4,40,JIC09_BrDFS_A_055,JIC,PC-183,199,9,42.83
p_034,1,3,5,41,JIC09_BrDFS_A_055,JIC,PC-183,205,10,41.69
p_045,1,1,6,26,JIC09_BrDFS_A_057,JIC,PC-184,204,8,48.69
p_037,1,2,7,42,JIC09_BrDFS_A_057,JIC,PC-184,202,8,46.69
p_048,1,3,1,43,JIC09_BrDFS_A_057,JIC,PC-184,202,10,54.83
p_024,2,1,2,44,JIC09_BrDFS_A_058,JIC,PC-185,201,9,39.26
p_039,2,2,3,57,JIC09_BrDFS_A_058,JIC,PC-185,201,7,54.65
p_050,1,3,4,45,JIC09_BrDFS_A_058,JIC,PC-185,201,10,75.15
p_021,1,1,5,58,JIC09_BrDFS_A_059,JIC,CX-058,201,9,54.28
p_063,1,2,6,59,JIC09_BrDFS_A_059,JIC,CX-058,201,6,50.52
p_040,1,3,7,60,JIC09_BrDFS_A_059,JIC,CX-058,197,10,51.35
p_051,2,1,1,61,JIC09_BrDFS_A_067,JIC,WTC-GLU3,197,9,62.69
p_013,2,2,2,62,JIC09_BrDFS_A_067,JIC,WTC-GLU3,197,8,39.33
p_055,1,3,3,63,JIC09_BrDFS_A_067,JIC,WTC-GLU3,196,9,44.92
