sample_id,sample,polytunnel,rep,sub_block,pot_number,line_number,Collaborator1_name,Internal_accession_name,JIC_internal_accession_id,cultivar_name,days to flowering,number of first branch,dry weight 
p_012,12,2,2,3,14,40,BrDFS_A_040,BrDFS_A_040,s-00013,KENSHIN-402,202,6,67.25
p_035,35,1,3,4,15,40,BrDFS_A_040,BrDFS_A_040,s-00013,KENSHIN-402,201,10,70.9
p_046,46,2,1,5,66,45,BrDFS_A_045,BrDFS_A_045,s-00014,PC-023,201,9,68.42
p_054,54,2,2,6,16,45,BrDFS_A_045,BrDFS_A_045,s-00014,PC-023,201,8,56.83
p_017,17,1,3,7,17,45,BrDFS_A_045,BrDFS_A_045,s-00014,PC-023,201,9,68.37
p_036,36,1,1,1,18,47,BrDFS_A_047,BrDFS_A_047,s-00015,PC-078,201,10,97.58
p_047,47,1,2,2,19,47,BrDFS_A_047,BrDFS_A_047,s-00015,PC-078,197,10,72.34
p_059,59,2,3,3,38,47,BrDFS_A_047,BrDFS_A_047,s-00015,PC-078,197,10,102.38
p_002,2,1,1,4,39,49,BrDFS_A_049,BrDFS_A_049,s-00016,PC-101,197,8,65.2
p_007,7,1,2,5,20,49,BrDFS_A_049,BrDFS_A_049,s-00016,PC-101,196,10,48.64
p_018,18,1,3,6,21,49,BrDFS_A_049,BrDFS_A_049,s-00016,PC-101,193,9,77.41
p_025,25,2,1,7,22,55,BrDFS_A_055,BrDFS_A_055,s-00017,PC-175,194,10,87.53
p_060,60,2,2,1,23,55,BrDFS_A_055,BrDFS_A_055,s-00017,PC-175,205,8,64.79
p_008,8,1,3,2,24,55,BrDFS_A_055,BrDFS_A_055,s-00017,PC-175,205,9,41.91
p_038,38,1,1,3,25,57,BrDFS_A_057,BrDFS_A_057,s-00018,PC-183,195,10,49.22
p_049,49,2,2,4,40,57,BrDFS_A_057,BrDFS_A_057,s-00018,PC-183,199,9,42.83
p_034,34,1,3,5,41,57,BrDFS_A_057,BrDFS_A_057,s-00018,PC-183,205,10,41.69
p_045,45,1,1,6,26,58,BrDFS_A_058,BrDFS_A_058,s-00019,PC-184,204,8,48.69
p_037,37,1,2,7,42,58,BrDFS_A_058,BrDFS_A_058,s-00019,PC-184,202,8,46.69
p_048,48,1,3,1,43,58,BrDFS_A_058,BrDFS_A_058,s-00019,PC-184,202,10,54.83
p_024,24,2,1,2,44,59,BrDFS_A_059,BrDFS_A_059,s-00020,PC-185,201,9,39.26
p_039,39,2,2,3,57,59,BrDFS_A_059,BrDFS_A_059,s-00020,PC-185,201,7,54.65
p_050,50,1,3,4,45,59,BrDFS_A_059,BrDFS_A_059,s-00020,PC-185,201,10,75.15
p_021,21,1,1,5,58,66,BrDFS_A_066,BrDFS_A_066,s-00053,CX-058,201,9,54.28
p_063,63,1,2,6,59,66,BrDFS_A_066,BrDFS_A_066,s-00053,CX-058,201,6,50.52
p_040,40,1,3,7,60,66,BrDFS_A_066,BrDFS_A_066,s-00053,CX-058,197,10,51.35
p_051,51,2,1,1,61,67,BrDFS_A_067,BrDFS_A_067,s-00213,WTC-GLU3,197,9,62.69
p_013,13,2,2,2,62,67,BrDFS_A_067,BrDFS_A_067,s-00213,WTC-GLU3,197,8,39.33
p_055,55,1,3,3,63,67,BrDFS_A_067,BrDFS_A_067,s-00213,WTC-GLU3,196,9,44.92
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
