,cultivar_name,Accession_name,Line_name,accession_source,year_produced,sample_id,sample,polytunnel,rep,sub_block,pot_number,line_number,Collaborator1_name,Internal_accession_name,JIC_internal_accession_id,days.to.flowering,number.of.first.branch
37,CX-058,JIC09_BrDFS_A_066,BrDFS_A_066,JIC,2009,p_021,21,1,1,5,58,66,BrDFS_A_066,BrDFS_A_066,s-00053,201,9
38,CX-058,JIC09_BrDFS_A_066,BrDFS_A_066,JIC,2009,p_063,63,1,2,6,59,66,BrDFS_A_066,BrDFS_A_066,s-00053,201,6
39,CX-058,JIC09_BrDFS_A_066,BrDFS_A_066,JIC,2009,p_040,40,1,3,7,60,66,BrDFS_A_066,BrDFS_A_066,s-00053,197,10
40,KENSHIN-402,JIC09_BrDFS_A_040,BrDFS_A_040,JIC,2009,p_004,4,2,1,2,13,40,BrDFS_A_040,BrDFS_A_040,s-00013,202,9
41,KENSHIN-402,JIC09_BrDFS_A_040,BrDFS_A_040,JIC,2009,p_012,12,2,2,3,14,40,BrDFS_A_040,BrDFS_A_040,s-00013,202,6
42,KENSHIN-402,JIC09_BrDFS_A_040,BrDFS_A_040,JIC,2009,p_035,35,1,3,4,15,40,BrDFS_A_040,BrDFS_A_040,s-00013,201,10
43,PC-023,JIC09_BrDFS_A_045,BrDFS_A_045,JIC,2009,p_046,46,2,1,5,66,45,BrDFS_A_045,BrDFS_A_045,s-00014,201,9
44,PC-023,JIC09_BrDFS_A_045,BrDFS_A_045,JIC,2009,p_054,54,2,2,6,16,45,BrDFS_A_045,BrDFS_A_045,s-00014,201,8
45,PC-023,JIC09_BrDFS_A_045,BrDFS_A_045,JIC,2009,p_017,17,1,3,7,17,45,BrDFS_A_045,BrDFS_A_045,s-00014,201,9
46,PC-078,JIC09_BrDFS_A_047,BrDFS_A_047,JIC,2009,p_036,36,1,1,1,18,47,BrDFS_A_047,BrDFS_A_047,s-00015,201,10
47,PC-078,JIC09_BrDFS_A_047,BrDFS_A_047,JIC,2009,p_047,47,1,2,2,19,47,BrDFS_A_047,BrDFS_A_047,s-00015,197,10
48,PC-078,JIC09_BrDFS_A_047,BrDFS_A_047,JIC,2009,p_059,59,2,3,3,38,47,BrDFS_A_047,BrDFS_A_047,s-00015,197,10
49,PC-101,JIC09_BrDFS_A_049,BrDFS_A_049,JIC,2009,p_002,2,1,1,4,39,49,BrDFS_A_049,BrDFS_A_049,s-00016,197,8
50,PC-101,JIC09_BrDFS_A_049,BrDFS_A_049,JIC,2009,p_007,7,1,2,5,20,49,BrDFS_A_049,BrDFS_A_049,s-00016,196,10
51,PC-101,JIC09_BrDFS_A_049,BrDFS_A_049,JIC,2009,p_018,18,1,3,6,21,49,BrDFS_A_049,BrDFS_A_049,s-00016,193,9
52,PC-175,JIC09_BrDFS_A_055,BrDFS_A_055,JIC,2009,p_025,25,2,1,7,22,55,BrDFS_A_055,BrDFS_A_055,s-00017,194,10
53,PC-175,JIC09_BrDFS_A_055,BrDFS_A_055,JIC,2009,p_060,60,2,2,1,23,55,BrDFS_A_055,BrDFS_A_055,s-00017,205,8
54,PC-175,JIC09_BrDFS_A_055,BrDFS_A_055,JIC,2009,p_008,8,1,3,2,24,55,BrDFS_A_055,BrDFS_A_055,s-00017,205,9
55,PC-183,JIC09_BrDFS_A_057,BrDFS_A_057,JIC,2009,p_038,38,1,1,3,25,57,BrDFS_A_057,BrDFS_A_057,s-00018,195,10
56,PC-183,JIC09_BrDFS_A_057,BrDFS_A_057,JIC,2009,p_049,49,2,2,4,40,57,BrDFS_A_057,BrDFS_A_057,s-00018,199,9
57,PC-183,JIC09_BrDFS_A_057,BrDFS_A_057,JIC,2009,p_034,34,1,3,5,41,57,BrDFS_A_057,BrDFS_A_057,s-00018,205,10
58,PC-184,JIC09_BrDFS_A_058,BrDFS_A_058,JIC,2009,p_045,45,1,1,6,26,58,BrDFS_A_058,BrDFS_A_058,s-00019,204,8
59,PC-184,JIC09_BrDFS_A_058,BrDFS_A_058,JIC,2009,p_037,37,1,2,7,42,58,BrDFS_A_058,BrDFS_A_058,s-00019,202,8
60,PC-184,JIC09_BrDFS_A_058,BrDFS_A_058,JIC,2009,p_048,48,1,3,1,43,58,BrDFS_A_058,BrDFS_A_058,s-00019,202,10
61,PC-185,JIC09_BrDFS_A_059,BrDFS_A_059,JIC,2009,p_024,24,2,1,2,44,59,BrDFS_A_059,BrDFS_A_059,s-00020,201,9
62,PC-185,JIC09_BrDFS_A_059,BrDFS_A_059,JIC,2009,p_039,39,2,2,3,57,59,BrDFS_A_059,BrDFS_A_059,s-00020,201,7
63,PC-185,JIC09_BrDFS_A_059,BrDFS_A_059,JIC,2009,p_050,50,1,3,4,45,59,BrDFS_A_059,BrDFS_A_059,s-00020,201,10
64,WTC-GLU3,JIC09_BrDFS_A_067,BrDFS_A_067,JIC,2009,p_051,51,2,1,1,61,67,BrDFS_A_067,BrDFS_A_067,s-00213,197,9
65,WTC-GLU3,JIC09_BrDFS_A_067,BrDFS_A_067,JIC,2009,p_013,13,2,2,2,62,67,BrDFS_A_067,BrDFS_A_067,s-00213,197,8
66,WTC-GLU3,JIC09_BrDFS_A_067,BrDFS_A_067,JIC,2009,p_055,55,1,3,3,63,67,BrDFS_A_067,BrDFS_A_067,s-00213,196,9
