sample,polytunnel,rep,sub_block,pot_number,line_number,Collaborator1_name,Internal_accession_name,Accession_Name,Originating organisation,JIC_internal_accession_id,days.to.flowering,number.of.first.branch
19,1,1,2,31,21,BnaDFFS006,BnaDFFS006,U.Nottm14_BnaDFFS006,University of Nottingham,s-00006,194,9
22,1,2,3,32,21,BnaDFFS006,BnaDFFS006,U.Nottm14_BnaDFFS006,University of Nottingham,s-00006,205,8
30,1,3,4,33,21,BnaDFFS006,BnaDFFS006,U.Nottm14_BnaDFFS006,University of Nottingham,s-00006,205,9
33,2,1,5,34,23,BnaDFFS007,BnaDFFS007,U.Nottm14_BnaDFFS007,University of Nottingham,s-00007,195,10
41,2,2,6,35,23,BnaDFFS007,BnaDFFS007,U.Nottm14_BnaDFFS007,University of Nottingham,s-00007,199,10
44,1,3,7,36,23,BnaDFFS007,BnaDFFS007,U.Nottm14_BnaDFFS007,University of Nottingham,s-00007,205,10
52,2,1,1,37,28,BnaDFFS008,BnaDFFS008,U.Nottm14_BnaDFFS008,University of Nottingham,s-00008,204,8
61,2,2,2,64,28,BnaDFFS008,BnaDFFS008,U.Nottm14_BnaDFFS008,University of Nottingham,s-00008,202,10
64,1,3,3,1,28,BnaDFFS008,BnaDFFS008,U.Nottm14_BnaDFFS008,University of Nottingham,s-00008,202,9
15,1,1,4,2,30,BnaDFFS009,BnaDFFS009,U.Nottm14_BnaDFFS009,University of Nottingham,s-00009,201,10
26,2,2,5,3,30,BnaDFFS009,BnaDFFS009,U.Nottm14_BnaDFFS009,University of Nottingham,s-00009,201,8
57,1,3,6,4,30,BnaDFFS009,BnaDFFS009,U.Nottm14_BnaDFFS009,University of Nottingham,s-00009,201,9
1,1,1,7,5,35,BnaDFFS010,BnaDFFS010,U.Nottm14_BnaDFFS010,University of Nottingham,s-00010,201,10
6,1,2,1,6,35,BnaDFFS010,BnaDFFS010,U.Nottm14_BnaDFFS010,University of Nottingham,s-00010,201,9
11,1,3,2,7,35,BnaDFFS010,BnaDFFS010,U.Nottm14_BnaDFFS010,University of Nottingham,s-00010,197,10
16,2,1,3,8,37,BnaDFFS011,BnaDFFS011,U.Nottm14_BnaDFFS011,University of Nottingham,s-00011,197,8
20,2,2,4,9,37,BnaDFFS011,BnaDFFS011,U.Nottm14_BnaDFFS011,University of Nottingham,s-00011,197,8
29,1,3,5,65,37,BnaDFFS011,BnaDFFS011,U.Nottm14_BnaDFFS011,University of Nottingham,s-00011,196,10
53,1,1,6,10,38,BnaDFFS012,BnaDFFS012,U.Nottm14_BnaDFFS012,University of Nottingham,s-00012,199,9
58,1,2,7,11,38,BnaDFFS012,BnaDFFS012,U.Nottm14_BnaDFFS012,University of Nottingham,s-00012,205,7
62,1,3,1,12,38,BnaDFFS012,BnaDFFS012,U.Nottm14_BnaDFFS012,University of Nottingham,s-00012,204,10
4,2,1,2,13,40,BnaDFFS013,BnaDFFS013,U.Nottm14_BnaDFFS013,University of Nottingham,s-00013,202,9
12,2,2,3,14,40,BnaDFFS013,BnaDFFS013,U.Nottm14_BnaDFFS013,University of Nottingham,s-00013,202,6
35,1,3,4,15,40,BnaDFFS013,BnaDFFS013,U.Nottm14_BnaDFFS013,University of Nottingham,s-00013,201,10
46,2,1,5,66,45,BnaDFFS014,BnaDFFS014,U.Nottm14_BnaDFFS014,University of Nottingham,s-00014,201,9
54,2,2,6,16,45,BnaDFFS014,BnaDFFS014,U.Nottm14_BnaDFFS014,University of Nottingham,s-00014,201,8
17,1,3,7,17,45,BnaDFFS014,BnaDFFS014,U.Nottm14_BnaDFFS014,University of Nottingham,s-00014,201,9
36,1,1,1,18,47,BnaDFFS015,BnaDFFS015,U.Nottm14_BnaDFFS015,University of Nottingham,s-00015,201,10
47,1,2,2,19,47,BnaDFFS015,BnaDFFS015,U.Nottm14_BnaDFFS015,University of Nottingham,s-00015,197,10
59,2,3,3,38,47,BnaDFFS015,BnaDFFS015,U.Nottm14_BnaDFFS015,University of Nottingham,s-00015,197,10
2,1,1,4,39,49,BnaDFFS016,BnaDFFS016,U.Nottm14_BnaDFFS016,University of Nottingham,s-00016,197,8
7,1,2,5,20,49,BnaDFFS016,BnaDFFS016,U.Nottm14_BnaDFFS016,University of Nottingham,s-00016,196,10
18,1,3,6,21,49,BnaDFFS016,BnaDFFS016,U.Nottm14_BnaDFFS016,University of Nottingham,s-00016,193,9
25,2,1,7,22,55,BnaDFFS017 Ref2,BnaDFFS017,U.Nottm14_BnaDFFS017,University of Nottingham,s-00017,194,10
60,2,2,1,23,55,BnaDFFS017 Ref2,BnaDFFS017,U.Nottm14_BnaDFFS017,University of Nottingham,s-00017,205,8
8,1,3,2,24,55,BnaDFFS017 Ref2,BnaDFFS017,U.Nottm14_BnaDFFS017,University of Nottingham,s-00017,205,9
38,1,1,3,25,57,BnaDFFS018,BnaDFFS018,U.Nottm14_BnaDFFS018,University of Nottingham,s-00018,195,10
49,2,2,4,40,57,BnaDFFS018,BnaDFFS018,U.Nottm14_BnaDFFS018,University of Nottingham,s-00018,199,9
34,1,3,5,41,57,BnaDFFS018,BnaDFFS018,U.Nottm14_BnaDFFS018,University of Nottingham,s-00018,205,10
45,1,1,6,26,58,BnaDFFS019,BnaDFFS019,U.Nottm14_BnaDFFS019,University of Nottingham,s-00019,204,8
37,1,2,7,42,58,BnaDFFS019,BnaDFFS019,U.Nottm14_BnaDFFS019,University of Nottingham,s-00019,202,8
48,1,3,1,43,58,BnaDFFS019,BnaDFFS019,U.Nottm14_BnaDFFS019,University of Nottingham,s-00019,202,10
24,2,1,2,44,59,BnaDFS020,BnaDFS020,U.Nottm14_BnaDFS020,University of Nottingham,s-00020,201,9
39,2,2,3,57,59,BnaDFS020,BnaDFS020,U.Nottm14_BnaDFS020,University of Nottingham,s-00020,201,7
50,1,3,4,45,59,BnaDFS020,BnaDFS020,U.Nottm14_BnaDFS020,University of Nottingham,s-00020,201,10
21,1,1,5,58,66,BnaDFS021,BnaDFS021,U.Nottm14_BnaDFS021,University of Nottingham,s-00053,201,9
63,1,2,6,59,66,BnaDFS021,BnaDFS021,U.Nottm14_BnaDFS021,University of Nottingham,s-00053,201,6
40,1,3,7,60,66,BnaDFS021,BnaDFS021,U.Nottm14_BnaDFS021,University of Nottingham,s-00053,197,10
51,2,1,1,61,67,BnaDFS022,BnaDFS022,U.Nottm14_BnaDFS022,University of Nottingham,s-00213,197,9
13,2,2,2,62,67,BnaDFS022,BnaDFS022,U.Nottm14_BnaDFS022,University of Nottingham,s-00213,197,8
55,1,3,3,63,67,BnaDFS022,BnaDFS022,U.Nottm14_BnaDFS022,University of Nottingham,s-00213,196,9
