sample_id,sample,polytunnel,rep,sub_block,pot_number,Accession_Name,Originating organisation,cultivar_name,days.to.flowering,number.of.first.branch,basal root thickness
p_036,36,1,1,1,18,JIC10_BnaDFFS008,JIC,RAFAL DH1,201,10,97.58
p_047,47,1,2,2,19,JIC10_BnaDFFS008,JIC,RAFAL DH1,197,10,72.34
p_059,59,2,3,3,38,JIC10_BnaDFFS008,JIC,RAFAL DH1,197,10,102.38
p_002,2,1,1,4,39,JIC10_BnaDFFS009,JIC,ROCKET (PST) X  LIZARD  DH LINE,197,8,65.2
p_007,7,1,2,5,20,JIC10_BnaDFFS009,JIC,ROCKET (PST) X  LIZARD  DH LINE,196,10,48.64
p_018,18,1,3,6,21,JIC10_BnaDFFS009,JIC,ROCKET (PST) X  LIZARD  DH LINE,193,9,77.41
p_025,25,2,1,7,22,JIC10_BnaDFFS010,JIC,SAMOURAI,194,10,87.53
p_060,60,2,2,1,23,JIC10_BnaDFFS010,JIC,SAMOURAI,205,8,64.79
p_008,8,1,3,2,24,JIC10_BnaDFFS010,JIC,SAMOURAI,205,9,41.91
p_038,38,1,1,3,25,JIC10_BnaDFFS011,JIC,TAPIDOR DH,195,10,49.22
p_049,49,2,2,4,40,JIC10_BnaDFFS011,JIC,TAPIDOR DH,199,9,42.83
p_034,34,1,3,5,41,JIC10_BnaDFFS011,JIC,TAPIDOR DH,205,10,41.69
p_045,45,1,1,6,26,JIC10_BnaDFFS012,JIC,TEQUILLA x ARAGON DH LINE,204,8,48.69
p_037,37,1,2,7,42,JIC10_BnaDFFS012,JIC,TEQUILLA x ARAGON DH LINE,202,8,46.69
p_048,48,1,3,1,43,JIC10_BnaDFFS012,JIC,TEQUILLA x ARAGON DH LINE,202,10,54.83
p_024,24,2,1,2,44,JIC10_BnaDFFS013,JIC,BALTIA,201,9,39.26
p_039,39,2,2,3,57,JIC10_BnaDFS020,JIC,BALTIA,201,7,54.65
p_050,50,1,3,4,45,JIC10_BnaDFS020,JIC,BALTIA,201,10,75.15
p_021,21,1,1,5,58,JIC10_BnaDFS021,JIC,EUROL,201,9,54.28
p_063,63,1,2,6,59,JIC10_BnaDFS021,JIC,EUROL,201,6,50.52
p_040,40,1,3,7,60,JIC10_BnaDFS021,JIC,EUROL,197,10,51.35
p_051,51,2,1,1,61,JIC10_BnaDFS022,JIC,JET NEUF,197,9,62.69
p_013,13,2,2,2,62,JIC10_BnaDFS022,JIC,JET NEUF,197,8,39.33
p_055,55,1,3,3,63,JIC10_BnaDFS022,JIC,JET NEUF,196,9,44.92
