sample,polytunnel,rep,sub_block,pot_number,line_number,Accession_Name,Originating organisation,Collaborator1_name,Internal_accession_name,JIC_internal_accession_id,days.to.flowering,number.of.first.branch,dry.weight
15,1,1,4,2,30,JIC09_BnaDFFS009,JIC,BnaDFFS009,BnaDFFS009,s-00009,201,10,52.41
26,2,2,5,3,30,JIC09_BnaDFFS009,JIC,BnaDFFS009,BnaDFFS009,s-00009,201,8,53.26
57,1,3,6,4,30,JIC09_BnaDFFS009,JIC,BnaDFFS009,BnaDFFS009,s-00009,201,9,54.01
1,1,1,7,5,35,JIC09_BnaDFFS010,JIC,BnaDFFS010,BnaDFFS010,s-00010,201,10,62.83
6,1,2,1,6,35,JIC09_BnaDFFS010,JIC,BnaDFFS010,BnaDFFS010,s-00010,201,9,72.98
11,1,3,2,7,35,JIC09_BnaDFFS010,JIC,BnaDFFS010,BnaDFFS010,s-00010,197,10,53.79
16,2,1,3,8,37,JIC09_BnaDFFS011,JIC,BnaDFFS011,BnaDFFS011,s-00011,197,8,74.39
20,2,2,4,9,37,JIC09_BnaDFFS011,JIC,BnaDFFS011,BnaDFFS011,s-00011,197,8,50.76
29,1,3,5,65,37,JIC09_BnaDFFS011,JIC,BnaDFFS011,BnaDFFS011,s-00011,196,10,55.51
53,1,1,6,10,38,JIC09_BnaDFFS012,JIC,BnaDFFS012,BnaDFFS012,s-00012,199,9,63.5
58,1,2,7,11,38,JIC09_BnaDFFS012,JIC,BnaDFFS012,BnaDFFS012,s-00012,205,7,45.81
62,1,3,1,12,38,JIC09_BnaDFFS012,JIC,BnaDFFS012,BnaDFFS012,s-00012,204,10,63.23
4,2,1,2,13,40,JIC09_BnaDFFS013,JIC,BnaDFFS013,BnaDFFS013,s-00013,202,9,42.28
12,2,2,3,14,40,JIC09_BnaDFFS013,JIC,BnaDFFS013,BnaDFFS013,s-00013,202,6,67.25
35,1,3,4,15,40,JIC09_BnaDFFS013,JIC,BnaDFFS013,BnaDFFS013,s-00013,201,10,70.9
46,2,1,5,66,45,JIC09_BnaDFFS014,JIC,BnaDFFS014,BnaDFFS014,s-00014,201,9,68.42
54,2,2,6,16,45,JIC09_BnaDFFS014,JIC,BnaDFFS014,BnaDFFS014,s-00014,201,8,56.83
17,1,3,7,17,45,JIC09_BnaDFFS014,JIC,BnaDFFS014,BnaDFFS014,s-00014,201,9,68.37
36,1,1,1,18,47,JIC09_BnaDFFS015,JIC,BnaDFFS015,BnaDFFS015,s-00015,201,10,97.58
47,1,2,2,19,47,JIC09_BnaDFFS015,JIC,BnaDFFS015,BnaDFFS015,s-00015,197,10,72.34
59,2,3,3,38,47,JIC09_BnaDFFS015,JIC,BnaDFFS015,BnaDFFS015,s-00015,197,10,102.38
2,1,1,4,39,49,JIC09_BnaDFFS016,JIC,BnaDFFS016,BnaDFFS016,s-00016,197,8,65.2
7,1,2,5,20,49,JIC09_BnaDFFS016,JIC,BnaDFFS016,BnaDFFS016,s-00016,196,10,48.64
18,1,3,6,21,49,JIC09_BnaDFFS016,JIC,BnaDFFS016,BnaDFFS016,s-00016,193,9,77.41
25,2,1,7,22,55,JIC09_BnaDFFS017,JIC,BnaDFFS017 Ref2,BnaDFFS017,s-00017,194,10,87.53
60,2,2,1,23,55,JIC09_BnaDFFS017,JIC,BnaDFFS017 Ref2,BnaDFFS017,s-00017,205,8,64.79
8,1,3,2,24,55,JIC09_BnaDFFS017,JIC,BnaDFFS017 Ref2,BnaDFFS017,s-00017,205,9,41.91
38,1,1,3,25,57,JIC09_BnaDFFS018,JIC,BnaDFFS018,BnaDFFS018,s-00018,195,10,49.22
49,2,2,4,40,57,JIC09_BnaDFFS018,JIC,BnaDFFS018,BnaDFFS018,s-00018,199,9,42.83
34,1,3,5,41,57,JIC09_BnaDFFS018,JIC,BnaDFFS018,BnaDFFS018,s-00018,205,10,41.69
45,1,1,6,26,58,JIC09_BnaDFFS019,JIC,BnaDFFS019,BnaDFFS019,s-00019,204,8,48.69
37,1,2,7,42,58,JIC09_BnaDFFS019,JIC,BnaDFFS019,BnaDFFS019,s-00019,202,8,46.69
48,1,3,1,43,58,JIC09_BnaDFFS019,JIC,BnaDFFS019,BnaDFFS019,s-00019,202,10,54.83
24,2,1,2,44,59,JIC09_BnaDFS020,JIC,BnaDFS020,BnaDFS020,s-00020,201,9,39.26
39,2,2,3,57,59,JIC09_BnaDFS020,JIC,BnaDFS020,BnaDFS020,s-00020,201,7,54.65
50,1,3,4,45,59,JIC09_BnaDFS020,JIC,BnaDFS020,BnaDFS020,s-00020,201,10,75.15
21,1,1,5,58,66,JIC09_BnaDFS021,JIC,BnaDFS021,BnaDFS021,s-00053,201,9,54.28
63,1,2,6,59,66,JIC09_BnaDFS021,JIC,BnaDFS021,BnaDFS021,s-00053,201,6,50.52
40,1,3,7,60,66,JIC09_BnaDFS021,JIC,BnaDFS021,BnaDFS021,s-00053,197,10,51.35
51,2,1,1,61,67,JIC09_BnaDFS022,JIC,BnaDFS022,BnaDFS022,s-00213,197,9,62.69
13,2,2,2,62,67,JIC09_BnaDFS022,JIC,BnaDFS022,BnaDFS022,s-00213,197,8,39.33
55,1,3,3,63,67,JIC09_BnaDFS022,JIC,BnaDFS022,BnaDFS022,s-00213,196,9,44.92
