sample_id,polytunnel,rep,sub_block,pot_number,Accession_Name,Originating organisation,cultivar_name,Brassicasterol,Campesterol diunsat,Early leaf Kjeldal N
p_035,1,3,4,15,EI15_BnaDFFS013,Earlham Institute,Major ,572.4,57.33,1414.92
p_046,2,1,5,66,EI15_BnaDFFS014,Earlham Institute,Ningyou 7,794.31,43.89,1429.66
p_054,2,2,6,16,EI15_BnaDFFS014,Earlham Institute,Ningyou 7,94,71.7,1277.52
p_017,1,3,7,17,EI15_BnaDFFS014,Earlham Institute,Ningyou 7,249.62,65.76,1317.96
p_036,1,1,1,18,EI15_BnaDFFS015,Earlham Institute,Rafal 1,757.32,44.71,1361.56
p_047,1,2,2,19,EI15_BnaDFFS015,Earlham Institute,Rafal 1,62.87,72.89,1269.43
p_059,2,3,3,38,EI15_BnaDFFS015,Earlham Institute,Rafal 1,374.12,61.01,1350.32
p_002,1,1,4,39,EI15_BnaDFFS016,Earlham Institute,Rocket (Pst) X  Lizard   ,720.34,47.24,1446.44
p_007,1,2,5,20,EI15_BnaDFFS016,Earlham Institute,Rocket (Pst) X  Lizard   ,31.75,74.08,1261.34
p_018,1,3,6,21,EI15_BnaDFFS016,Earlham Institute,Rocket (Pst) X  Lizard   ,572.4,57.33,1414.92
p_025,2,1,7,22,EI15_BnaDFFS017,Earlham Institute,Samourai,683.36,49.76,1576.69
p_060,2,2,1,23,EI15_BnaDFFS017,Earlham Institute,Samourai,343,75.27,1253.25
p_008,1,3,2,24,EI15_BnaDFFS017,Earlham Institute,Samourai,218.5,66.95,1309.87
p_038,1,1,3,25,EI15_BnaDFFS018,Earlham Institute,Tapidor ,646.37,52.29,1541.84
p_049,2,2,4,40,EI15_BnaDFFS018,Earlham Institute,Tapidor ,311.87,76.46,1245.16
p_034,1,3,5,41,EI15_BnaDFFS018,Earlham Institute,Tapidor ,94,71.7,1277.52
p_045,1,1,6,26,EI15_BnaDFFS019,Earlham Institute,Tequilla X Aragon  ,609.39,54.81,1431.5
p_037,1,2,7,42,EI15_BnaDFFS019,Earlham Institute,Tequilla X Aragon  ,280.75,77.65,1237.07
p_048,1,3,1,43,EI15_BnaDFFS019,Earlham Institute,Tequilla X Aragon  ,249.62,65.76,1317.96
