sample_id,sample,polytunnel,rep,sub_block,pot_number,line_number,Collaborator1_name,Internal_accession_name,Accession_Name,Originating organisation,JIC_internal_accession_id,cultivar_name,ug/g,Brassicasterol,Campesterol diunsat
p_044,44,1,3,7,36,23,BnaDFFS007,BnaDFFS007,RRES10_BnaDFFS007,RRES,s-00007,Capricorn 1,,218.5,66.95
p_052,52,2,1,1,37,28,BnaDFFS008,BnaDFFS008,RRES10_BnaDFFS008,RRES,s-00008,Columbus X Nickel  ,,1137.98,15.23
p_061,61,2,2,2,64,28,BnaDFFS008,BnaDFFS008,RRES10_BnaDFFS008,RRES,s-00008,Columbus X Nickel  ,,280.75,64.57
p_064,64,1,3,3,1,28,BnaDFFS008,BnaDFFS008,RRES10_BnaDFFS008,RRES,s-00008,Columbus X Nickel  ,,572.4,57.33
p_015,15,1,1,4,2,30,BnaDFFS009,BnaDFFS009,RRES10_BnaDFFS009,RRES,s-00009,Darmor,,1058.63,24.46
p_026,26,2,2,5,3,30,BnaDFFS009,BnaDFFS009,RRES10_BnaDFFS009,RRES,s-00009,Darmor,,249.62,65.76
p_057,57,1,3,6,4,30,BnaDFFS009,BnaDFFS009,RRES10_BnaDFFS009,RRES,s-00009,Darmor,,94,71.7
p_001,1,1,1,7,5,35,BnaDFFS010,BnaDFFS010,RRES10_BnaDFFS010,RRES,s-00010,Hansen X Gaspard  ,,854.68,23.74
p_006,6,1,2,1,6,35,BnaDFFS010,BnaDFFS010,RRES10_BnaDFFS010,RRES,s-00010,Hansen X Gaspard  ,,218.5,66.95
p_011,11,1,3,2,7,35,BnaDFFS010,BnaDFFS010,RRES10_BnaDFFS010,RRES,s-00010,Hansen X Gaspard  ,,374.12,61.01
p_016,16,2,1,3,8,37,BnaDFFS011,BnaDFFS011,RRES10_BnaDFFS011,RRES,s-00011,Inca X  Contact   ,,825.03,36.06
p_020,20,2,2,4,9,37,BnaDFFS011,BnaDFFS011,RRES10_BnaDFFS011,RRES,s-00011,Inca X  Contact   ,,187.37,68.14
p_029,29,1,3,5,65,37,BnaDFFS011,BnaDFFS011,RRES10_BnaDFFS011,RRES,s-00011,Inca X  Contact   ,,280.75,77.65
p_053,53,1,1,6,10,38,BnaDFFS012,BnaDFFS012,RRES10_BnaDFFS012,RRES,s-00012,Madrigal X Recital  ,,928.88,35.96
p_058,58,1,2,7,11,38,BnaDFFS012,BnaDFFS012,RRES10_BnaDFFS012,RRES,s-00012,Madrigal X Recital  ,,156.25,69.33
p_062,62,1,3,1,12,38,BnaDFFS012,BnaDFFS012,RRES10_BnaDFFS012,RRES,s-00012,Madrigal X Recital  ,,1058.63,24.46
p_004,4,2,1,2,13,40,BnaDFFS013,BnaDFFS013,RRES10_BnaDFFS013,RRES,s-00013,Major ,,831.29,37.71
p_012,12,2,2,3,14,40,BnaDFFS013,BnaDFFS013,RRES10_BnaDFFS013,RRES,s-00013,Major ,,125.12,70.52
p_035,35,1,3,4,15,40,BnaDFFS013,BnaDFFS013,RRES10_BnaDFFS013,RRES,s-00013,Major ,,572.4,57.33
p_046,46,2,1,5,66,45,BnaDFFS014,BnaDFFS014,RRES10_BnaDFFS014,RRES,s-00014,Ningyou 7,,794.31,43.89
p_054,54,2,2,6,16,45,BnaDFFS014,BnaDFFS014,RRES10_BnaDFFS014,RRES,s-00014,Ningyou 7,,94,71.7
p_017,17,1,3,7,17,45,BnaDFFS014,BnaDFFS014,RRES10_BnaDFFS014,RRES,s-00014,Ningyou 7,,249.62,65.76
p_036,36,1,1,1,18,47,BnaDFFS015,BnaDFFS015,RRES10_BnaDFFS015,RRES,s-00015,Rafal 1,,757.32,44.71
p_047,47,1,2,2,19,47,BnaDFFS015,BnaDFFS015,RRES10_BnaDFFS015,RRES,s-00015,Rafal 1,,62.87,72.89
p_059,59,2,3,3,38,47,BnaDFFS015,BnaDFFS015,RRES10_BnaDFFS015,RRES,s-00015,Rafal 1,,374.12,61.01
p_002,2,1,1,4,39,49,BnaDFFS016,BnaDFFS016,RRES10_BnaDFFS016,RRES,s-00016,Rocket (Pst) X  Lizard   ,,720.34,47.24
p_007,7,1,2,5,20,49,BnaDFFS016,BnaDFFS016,RRES10_BnaDFFS016,RRES,s-00016,Rocket (Pst) X  Lizard   ,,31.75,74.08
p_018,18,1,3,6,21,49,BnaDFFS016,BnaDFFS016,RRES10_BnaDFFS016,RRES,s-00016,Rocket (Pst) X  Lizard   ,,572.4,57.33
p_025,25,2,1,7,22,55,BnaDFFS017 Ref2,BnaDFFS017,RRES10_BnaDFFS017,RRES,s-00017,Samourai,,683.36,49.76
p_060,60,2,2,1,23,55,BnaDFFS017 Ref2,BnaDFFS017,RRES10_BnaDFFS017,RRES,s-00017,Samourai,,343,75.27
p_008,8,1,3,2,24,55,BnaDFFS017 Ref2,BnaDFFS017,RRES10_BnaDFFS017,RRES,s-00017,Samourai,,218.5,66.95
p_038,38,1,1,3,25,57,BnaDFFS018,BnaDFFS018,RRES10_BnaDFFS018,RRES,s-00018,Tapidor ,,646.37,52.29
p_049,49,2,2,4,40,57,BnaDFFS018,BnaDFFS018,RRES10_BnaDFFS018,RRES,s-00018,Tapidor ,,311.87,76.46
p_034,34,1,3,5,41,57,BnaDFFS018,BnaDFFS018,RRES10_BnaDFFS018,RRES,s-00018,Tapidor ,,94,71.7
p_045,45,1,1,6,26,58,BnaDFFS019,BnaDFFS019,RRES10_BnaDFFS019,RRES,s-00019,Tequilla X Aragon  ,,609.39,54.81
p_037,37,1,2,7,42,58,BnaDFFS019,BnaDFFS019,RRES10_BnaDFFS019,RRES,s-00019,Tequilla X Aragon  ,,280.75,77.65
p_048,48,1,3,1,43,58,BnaDFFS019,BnaDFFS019,RRES10_BnaDFFS019,RRES,s-00019,Tequilla X Aragon  ,,249.62,65.76
