,Line_name,Accession_name,cultivar_name.x,accession_source,year_produced,Line.name.new,cultivar.name,originating.organisation,sample_id,sample,polytunnel,rep,sub_block,pot_number,line_number,Collaborator1_name,JIC_internal_accession_id,cultivar_name.y,days.to.flowering,number.of.first.branch,dry.weight
13,BrDFS_A_017,JIC09_BrDFS_A_017,CC-094,JIC,2009,BnaDFFS005,BRYAN x FORTRESS DH LINE,"KWS UK Ltd, UK",p_065,65,2,1,6,28,17,BrDFS_A_017,s-00005,CC-094,197,9,60.15
14,BrDFS_A_017,JIC09_BrDFS_A_017,CC-094,JIC,2009,BnaDFFS005,BRYAN x FORTRESS DH LINE,"KWS UK Ltd, UK",p_005,5,2,2,7,29,17,BrDFS_A_017,s-00005,CC-094,196,6,53.9
15,BrDFS_A_017,JIC09_BrDFS_A_017,CC-094,JIC,2009,BnaDFFS005,BRYAN x FORTRESS DH LINE,"KWS UK Ltd, UK",p_010,10,1,3,1,30,17,BrDFS_A_017,s-00005,CC-094,193,10,87.38
16,BrDFS_A_021,JIC09_BrDFS_A_021,CC-114,JIC,2009,BnaDFFS006,CANBERRA x COURAGE DH LINE,"KWS UK Ltd, UK",p_019,19,1,1,2,31,21,BrDFS_A_021,s-00006,CC-114,194,9,67.74
17,BrDFS_A_021,JIC09_BrDFS_A_021,CC-114,JIC,2009,BnaDFFS006,CANBERRA x COURAGE DH LINE,"KWS UK Ltd, UK",p_022,22,1,2,3,32,21,BrDFS_A_021,s-00006,CC-114,205,8,90.36
18,BrDFS_A_021,JIC09_BrDFS_A_021,CC-114,JIC,2009,BnaDFFS006,CANBERRA x COURAGE DH LINE,"KWS UK Ltd, UK",p_030,30,1,3,4,33,21,BrDFS_A_021,s-00006,CC-114,205,9,61.53
19,BrDFS_A_023,JIC09_BrDFS_A_023,CC-140,JIC,2009,BnaDFFS007,CAPRICORN DH1,"JIC, UK",p_033,33,2,1,5,34,23,BrDFS_A_023,s-00007,CC-140,195,10,87.73
20,BrDFS_A_023,JIC09_BrDFS_A_023,CC-140,JIC,2009,BnaDFFS007,CAPRICORN DH1,"JIC, UK",p_041,41,2,2,6,35,23,BrDFS_A_023,s-00007,CC-140,199,10,90.25
21,BrDFS_A_023,JIC09_BrDFS_A_023,CC-140,JIC,2009,BnaDFFS007,CAPRICORN DH1,"JIC, UK",p_044,44,1,3,7,36,23,BrDFS_A_023,s-00007,CC-140,205,10,66.23
22,BrDFS_A_028,JIC09_BrDFS_A_028,CC-156,JIC,2009,BnaDFFS008,COLUMBUS X NICKEL DH LINE,"CPB Twyfords, UK",p_052,52,2,1,1,37,28,BrDFS_A_028,s-00008,CC-156,204,8,128.59
23,BrDFS_A_028,JIC09_BrDFS_A_028,CC-156,JIC,2009,BnaDFFS008,COLUMBUS X NICKEL DH LINE,"CPB Twyfords, UK",p_061,61,2,2,2,64,28,BrDFS_A_028,s-00008,CC-156,202,10,71.61
24,BrDFS_A_028,JIC09_BrDFS_A_028,CC-156,JIC,2009,BnaDFFS008,COLUMBUS X NICKEL DH LINE,"CPB Twyfords, UK",p_064,64,1,3,3,1,28,BrDFS_A_028,s-00008,CC-156,202,9,81.1
25,BrDFS_A_030,JIC09_BrDFS_A_030,CC-160,JIC,2009,BnaDFFS009,DARMOR,"INRA, Rennes, FRA",p_015,15,1,1,4,2,30,BrDFS_A_030,s-00009,CC-160,201,10,52.41
26,BrDFS_A_030,JIC09_BrDFS_A_030,CC-160,JIC,2009,BnaDFFS009,DARMOR,"INRA, Rennes, FRA",p_026,26,2,2,5,3,30,BrDFS_A_030,s-00009,CC-160,201,8,53.26
27,BrDFS_A_030,JIC09_BrDFS_A_030,CC-160,JIC,2009,BnaDFFS009,DARMOR,"INRA, Rennes, FRA",p_057,57,1,3,6,4,30,BrDFS_A_030,s-00009,CC-160,201,9,54.01
28,BrDFS_A_035,JIC09_BrDFS_A_035,CC-168,JIC,2009,BnaDFFS010,HANSEN X GASPARD DH LINE,"KWS UK Ltd, UK",p_001,1,1,1,7,5,35,BrDFS_A_035,s-00010,CC-168,201,10,62.83
29,BrDFS_A_035,JIC09_BrDFS_A_035,CC-168,JIC,2009,BnaDFFS010,HANSEN X GASPARD DH LINE,"KWS UK Ltd, UK",p_006,6,1,2,1,6,35,BrDFS_A_035,s-00010,CC-168,201,9,72.98
30,BrDFS_A_035,JIC09_BrDFS_A_035,CC-168,JIC,2009,BnaDFFS010,HANSEN X GASPARD DH LINE,"KWS UK Ltd, UK",p_011,11,1,3,2,7,35,BrDFS_A_035,s-00010,CC-168,197,10,53.79
31,BrDFS_A_037,JIC09_BrDFS_A_037,CC-HN54,JIC,2009,BnaDFFS011,INCA X  CONTACT  DH LINE,"KWS UK Ltd, UK",p_016,16,2,1,3,8,37,BrDFS_A_037,s-00011,CC-HN54,197,8,74.39
32,BrDFS_A_037,JIC09_BrDFS_A_037,CC-HN54,JIC,2009,BnaDFFS011,INCA X  CONTACT  DH LINE,"KWS UK Ltd, UK",p_020,20,2,2,4,9,37,BrDFS_A_037,s-00011,CC-HN54,197,8,50.76
33,BrDFS_A_037,JIC09_BrDFS_A_037,CC-HN54,JIC,2009,BnaDFFS011,INCA X  CONTACT  DH LINE,"KWS UK Ltd, UK",p_029,29,1,3,5,65,37,BrDFS_A_037,s-00011,CC-HN54,196,10,55.51
34,BrDFS_A_038,JIC09_BrDFS_A_038,CC-HN53,JIC,2009,BnaDFFS012,MADRIGAL x RECITAL DH LINE,"KWS UK Ltd, UK",p_053,53,1,1,6,10,38,BrDFS_A_038,s-00012,CC-HN53,199,9,63.5
35,BrDFS_A_038,JIC09_BrDFS_A_038,CC-HN53,JIC,2009,BnaDFFS012,MADRIGAL x RECITAL DH LINE,"KWS UK Ltd, UK",p_058,58,1,2,7,11,38,BrDFS_A_038,s-00012,CC-HN53,205,7,45.81
36,BrDFS_A_038,JIC09_BrDFS_A_038,CC-HN53,JIC,2009,BnaDFFS012,MADRIGAL x RECITAL DH LINE,"KWS UK Ltd, UK",p_062,62,1,3,1,12,38,BrDFS_A_038,s-00012,CC-HN53,204,10,63.23
37,BrDFS_A_040,JIC09_BrDFS_A_040,KENSHIN-402,JIC,2009,BnaDFFS013,MAJOR DH,"Madison, Wisconsin, USA",p_004,4,2,1,2,13,40,BrDFS_A_040,s-00013,KENSHIN-402,202,9,42.28
38,BrDFS_A_040,JIC09_BrDFS_A_040,KENSHIN-402,JIC,2009,BnaDFFS013,MAJOR DH,"Madison, Wisconsin, USA",p_012,12,2,2,3,14,40,BrDFS_A_040,s-00013,KENSHIN-402,202,6,67.25
39,BrDFS_A_040,JIC09_BrDFS_A_040,KENSHIN-402,JIC,2009,BnaDFFS013,MAJOR DH,"Madison, Wisconsin, USA",p_035,35,1,3,4,15,40,BrDFS_A_040,s-00013,KENSHIN-402,201,10,70.9
40,BrDFS_A_045,JIC09_BrDFS_A_045,PC-023,JIC,2009,BnaDFFS014,NINGYOU 7,"Huazhong Agricultural University, China",p_046,46,2,1,5,66,45,BrDFS_A_045,s-00014,PC-023,201,9,68.42
41,BrDFS_A_045,JIC09_BrDFS_A_045,PC-023,JIC,2009,BnaDFFS014,NINGYOU 7,"Huazhong Agricultural University, China",p_054,54,2,2,6,16,45,BrDFS_A_045,s-00014,PC-023,201,8,56.83
42,BrDFS_A_045,JIC09_BrDFS_A_045,PC-023,JIC,2009,BnaDFFS014,NINGYOU 7,"Huazhong Agricultural University, China",p_017,17,1,3,7,17,45,BrDFS_A_045,s-00014,PC-023,201,9,68.37
43,BrDFS_A_047,JIC09_BrDFS_A_047,PC-078,JIC,2009,BnaDFFS015,RAFAL DH1,"JIC, UK",p_036,36,1,1,1,18,47,BrDFS_A_047,s-00015,PC-078,201,10,97.58
44,BrDFS_A_047,JIC09_BrDFS_A_047,PC-078,JIC,2009,BnaDFFS015,RAFAL DH1,"JIC, UK",p_047,47,1,2,2,19,47,BrDFS_A_047,s-00015,PC-078,197,10,72.34
45,BrDFS_A_047,JIC09_BrDFS_A_047,PC-078,JIC,2009,BnaDFFS015,RAFAL DH1,"JIC, UK",p_059,59,2,3,3,38,47,BrDFS_A_047,s-00015,PC-078,197,10,102.38
46,BrDFS_A_049,JIC09_BrDFS_A_049,PC-101,JIC,2009,BnaDFFS016,ROCKET (PST) X  LIZARD  DH LINE,"KWS UK Ltd, UK",p_002,2,1,1,4,39,49,BrDFS_A_049,s-00016,PC-101,197,8,65.2
47,BrDFS_A_049,JIC09_BrDFS_A_049,PC-101,JIC,2009,BnaDFFS016,ROCKET (PST) X  LIZARD  DH LINE,"KWS UK Ltd, UK",p_007,7,1,2,5,20,49,BrDFS_A_049,s-00016,PC-101,196,10,48.64
48,BrDFS_A_049,JIC09_BrDFS_A_049,PC-101,JIC,2009,BnaDFFS016,ROCKET (PST) X  LIZARD  DH LINE,"KWS UK Ltd, UK",p_018,18,1,3,6,21,49,BrDFS_A_049,s-00016,PC-101,193,9,77.41
49,BrDFS_A_055,JIC09_BrDFS_A_055,PC-175,JIC,2009,BnaDFFS017,SAMOURAI,"INRA, Rennes, FRA",p_025,25,2,1,7,22,55,BrDFS_A_055,s-00017,PC-175,194,10,87.53
50,BrDFS_A_055,JIC09_BrDFS_A_055,PC-175,JIC,2009,BnaDFFS017,SAMOURAI,"INRA, Rennes, FRA",p_060,60,2,2,1,23,55,BrDFS_A_055,s-00017,PC-175,205,8,64.79
51,BrDFS_A_055,JIC09_BrDFS_A_055,PC-175,JIC,2009,BnaDFFS017,SAMOURAI,"INRA, Rennes, FRA",p_008,8,1,3,2,24,55,BrDFS_A_055,s-00017,PC-175,205,9,41.91
52,BrDFS_A_057,JIC09_BrDFS_A_057,PC-183,JIC,2009,BnaDFFS018,TAPIDOR DH,"Huazhong Agricultural University, China",p_038,38,1,1,3,25,57,BrDFS_A_057,s-00018,PC-183,195,10,49.22
53,BrDFS_A_057,JIC09_BrDFS_A_057,PC-183,JIC,2009,BnaDFFS018,TAPIDOR DH,"Huazhong Agricultural University, China",p_049,49,2,2,4,40,57,BrDFS_A_057,s-00018,PC-183,199,9,42.83
54,BrDFS_A_057,JIC09_BrDFS_A_057,PC-183,JIC,2009,BnaDFFS018,TAPIDOR DH,"Huazhong Agricultural University, China",p_034,34,1,3,5,41,57,BrDFS_A_057,s-00018,PC-183,205,10,41.69
55,BrDFS_A_058,JIC09_BrDFS_A_058,PC-184,JIC,2009,BnaDFFS019,TEQUILLA x ARAGON DH LINE,"KWS UK Ltd, UK",p_045,45,1,1,6,26,58,BrDFS_A_058,s-00019,PC-184,204,8,48.69
56,BrDFS_A_058,JIC09_BrDFS_A_058,PC-184,JIC,2009,BnaDFFS019,TEQUILLA x ARAGON DH LINE,"KWS UK Ltd, UK",p_037,37,1,2,7,42,58,BrDFS_A_058,s-00019,PC-184,202,8,46.69
57,BrDFS_A_058,JIC09_BrDFS_A_058,PC-184,JIC,2009,BnaDFFS019,TEQUILLA x ARAGON DH LINE,"KWS UK Ltd, UK",p_048,48,1,3,1,43,58,BrDFS_A_058,s-00019,PC-184,202,10,54.83
58,BrDFS_A_059,JIC09_BrDFS_A_059,PC-185,JIC,2009,BnaDFS020,BALTIA,NLDCGN    ,p_024,24,2,1,2,44,59,BrDFS_A_059,s-00020,PC-185,201,9,39.26
59,BrDFS_A_059,JIC09_BrDFS_A_059,PC-185,JIC,2009,BnaDFS020,BALTIA,NLDCGN    ,p_039,39,2,2,3,57,59,BrDFS_A_059,s-00020,PC-185,201,7,54.65
60,BrDFS_A_059,JIC09_BrDFS_A_059,PC-185,JIC,2009,BnaDFS020,BALTIA,NLDCGN    ,p_050,50,1,3,4,45,59,BrDFS_A_059,s-00020,PC-185,201,10,75.15
61,BrDFS_A_066,JIC09_BrDFS_A_066,CX-058,JIC,2009,BnaDFS021,EUROL,RICP,p_021,21,1,1,5,58,66,BrDFS_A_066,s-00053,CX-058,201,9,54.28
62,BrDFS_A_066,JIC09_BrDFS_A_066,CX-058,JIC,2009,BnaDFS021,EUROL,RICP,p_063,63,1,2,6,59,66,BrDFS_A_066,s-00053,CX-058,201,6,50.52
63,BrDFS_A_066,JIC09_BrDFS_A_066,CX-058,JIC,2009,BnaDFS021,EUROL,RICP,p_040,40,1,3,7,60,66,BrDFS_A_066,s-00053,CX-058,197,10,51.35
64,BrDFS_A_067,JIC09_BrDFS_A_067,WTC-GLU3,JIC,2009,BnaDFS022,JET NEUF,NLDCGN,p_051,51,2,1,1,61,67,BrDFS_A_067,s-00213,WTC-GLU3,197,9,62.69
65,BrDFS_A_067,JIC09_BrDFS_A_067,WTC-GLU3,JIC,2009,BnaDFS022,JET NEUF,NLDCGN,p_013,13,2,2,2,62,67,BrDFS_A_067,s-00213,WTC-GLU3,197,8,39.33
66,BrDFS_A_067,JIC09_BrDFS_A_067,WTC-GLU3,JIC,2009,BnaDFS022,JET NEUF,NLDCGN,p_055,55,1,3,3,63,67,BrDFS_A_067,s-00213,WTC-GLU3,196,9,44.92
